(158,44)
(158,43)
(159,42)
(160,41)
(161,40)
(162,39)
(163,38)
(164,37)
(165,36)
(166,36)
(167,35)
(168,34)
(169,34)
(170,34)
(171,33)
(172,33)
(173,33)
(174,32)
(175,32)
(176,32)
(177,32)
(178,32)
(179,32)
(180,32)
(181,32)
(182,32)
(183,32)
(184,32)
(185,32)
(186,32)
(187,32)
(188,32)
(189,33)
(190,34)
(191,35)
(192,36)
(193,37)
(194,38)
(195,39)
(196,40)
(197,41)
(198,42)
(199,43)
(199,44)
(200,45)
(201,46)
(201,47)
(201,48)
(202,49)
(202,50)
(202,51)
(203,52)
(203,53)
(203,54)
(203,55)
(203,56)
(203,57)
(203,58)
(203,59)
(203,60)
(203,61)
(203,62)
(203,63)
(204,64)
(205,65)
(206,66)
(207,67)
(208,68)
(209,69)
(210,70)
(211,71)
(212,72)
(213,73)
(214,74)
(215,75)
(216,76)
(217,77)
(218,78)
(219,79)
(220,80)
(221,81)
(222,82)
(223,83)
(224,84)
(225,85)
(226,86)
(227,87)
(228,88)
(229,89)
(230,90)
(231,91)
(232,92)
(233,93)
(233,94)
(234,95)
(235,96)
(235,97)
(235,98)
(236,99)
(236,100)
(236,101)
(236,102)
(236,103)
(236,104)
(236,105)
(236,106)
(236,107)
(236,108)
(236,109)
(236,110)
(236,111)
(235,112)
(234,113)
(233,114)
(232,115)
(231,116)
(230,117)
(229,118)
(228,119)
(227,120)
(226,121)
(226,122)
(225,123)
(224,124)
(224,125)
(224,126)
(223,127)
(223,128)
(223,129)
(222,130)
(222,131)
(222,132)
(222,133)
(222,134)
(222,135)
(222,136)
(222,137)
(222,138)
(222,139)
(222,140)
(222,141)
(222,142)
(222,143)
(222,144)
(222,145)
(222,146)
(223,147)
(224,148)
(225,149)
(226,150)
(227,151)
(228,152)
(229,153)
(230,154)
(231,155)
(232,156)
(233,157)
(233,158)
(234,159)
(235,160)
(235,161)
(235,162)
(236,163)
(236,164)
(236,165)
(236,166)
(236,167)
(236,168)
(236,169)
(236,170)
(236,171)
(236,172)
(236,173)
(236,174)
(236,175)
(236,176)
(235,177)
(234,178)
(233,179)
(232,180)
(231,181)
(230,182)
(229,183)
(228,184)
(227,185)
(226,186)
(225,187)
(224,188)
(223,189)
(222,190)
(221,191)
(220,192)
(219,193)
(218,194)
(217,195)
(216,196)
(215,197)
(214,198)
(213,199)
(212,200)
(211,201)
(210,202)
(209,203)
[Finished in 2.3s]
